state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,StateName,Region,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
AL,11000,56,616000,209000,1.49,918000,2007,Alabama,South,7696.2,3258.1,4149.6,0.0,0.0,15103.9
AL,11000,72,792000,230000,1.21,958000,2006,Alabama,South,680.0,4230.2,5371.6,0.0,0.0,10281.8
AL,12000,86,1032000,103000,1.18,1218000,2002,Alabama,South,0.0,1178.8,840.4,0.0,0.0,2019.2
AL,12000,87,1044000,282000,1.41,1472000,2004,Alabama,South,2676.4,1323.9,3863.9,0.0,0.0,7864.2
AL,13000,66,858000,266000,1.02,875000,2005,Alabama,South,1503.6,994.5,5493.9,0.0,0.0,7992.0
AL,13000,82,1066000,43000,1.24,1322000,2003,Alabama,South,0.0,668.3,591.7,0.0,0.0,1260.0
AL,14000,73,1022000,235000,0.72,736000,2001,Alabama,South,0.0,1490.8,0.0,0.0,0.0,1490.8
AL,16000,71,1136000,159000,0.72,818000,1998,Alabama,South,0.0,1836.3,0.0,0.0,0.0,1836.3
AL,16000,78,1248000,187000,0.59,736000,2000,Alabama,South,0.0,1499.2,0.0,0.0,0.0,1499.2
AL,17000,68,1156000,185000,0.56,647000,1999,Alabama,South,0.0,1251.2,0.0,0.0,0.0,1251.2
AL,7000,45,315000,22000,2.77,873000,2017,Alabama,South,,,,,,
AL,7000,47,329000,13000,3.83,1260000,2015,Alabama,South,56.2,10919.3,1101.6,0.0,0.0,12077.1
AL,7000,52,364000,33000,3.45,1256000,2016,Alabama,South,,,,,,
AL,7000,52,364000,55000,2.85,1037000,2013,Alabama,South,5992.9,8284.4,5202.0,0.0,0.0,19479.3
AL,7000,53,371000,26000,3.53,1310000,2014,Alabama,South,7971.6,12194.1,4745.4,0.0,0.0,24911.1
AL,8000,54,432000,65000,2.47,1067000,2012,Alabama,South,4797.8,6249.1,7002.6,0.0,0.0,18049.5
AL,9000,50,450000,63000,2.51,1130000,2011,Alabama,South,10106.1,5229.8,7148.1,0.0,0.0,22484.0
AL,9000,50,450000,68000,1.86,837000,2009,Alabama,South,5087.2,3991.9,4076.2,0.0,0.0,13155.3
AL,9000,54,486000,73000,2.4,1166000,2010,Alabama,South,1914.0,1757.0,4658.3,0.0,0.0,8329.3
AL,9000,66,594000,214000,1.9,1129000,2008,Alabama,South,1598.3,3296.6,4214.5,0.0,0.0,9109.4
AR,21000,65,1365000,137000,2.04,2785000,2014,Arkansas,South,15202.6,17066.9,23805.3,692.1,0.0,56766.9
AR,22000,60,1320000,66000,2.02,2666000,2013,Arkansas,South,17338.3,17309.0,23873.8,0.0,0.0,58521.1
AR,22000,64,1408000,239000,1.62,2281000,2011,Arkansas,South,5894.4,15162.1,33501.0,2874.3,0.0,57431.8
AR,24000,57,1368000,301000,1.42,1943000,2009,Arkansas,South,4346.9,10079.4,21186.5,349.1,0.0,35961.9
AR,24000,69,1656000,99000,1.85,3064000,2016,Arkansas,South,,,,,,
AR,24000,72,1728000,121000,2.06,3560000,2015,Arkansas,South,1070.4,5235.9,5373.0,748.0,0.0,12427.3
AR,25000,60,1500000,360000,1.47,2205000,2010,Arkansas,South,3544.8,9049.8,21468.2,902.7,0.0,34965.5
AR,25000,63,1575000,189000,1.98,3119000,2012,Arkansas,South,4939.2,12508.7,33718.9,59.7,0.0,51226.5
AR,28000,75,2100000,525000,1.35,2835000,2008,Arkansas,South,2168.9,9093.8,25102.8,995.7,0.0,37361.2
AR,28000,80,2240000,672000,0.95,2128000,2007,Arkansas,South,209.8,12750.1,17475.5,1277.4,0.0,31712.8
AR,29000,77,2233000,223000,1.91,4265000,2017,Arkansas,South,,,,,,
AR,32000,76,2432000,730000,0.89,2164000,2006,Arkansas,South,1518.4,7036.6,20647.9,4686.6,0.0,33889.5
AR,36000,69,2484000,571000,0.97,2409000,2005,Arkansas,South,2458.3,6902.1,7310.4,981.2,0.0,17652.0
AR,40000,57,2280000,388000,0.87,1984000,2004,Arkansas,South,530.9,11941.3,9368.6,3312.4,0.0,25153.2
AR,40000,75,3.00E+06,810000,1.26,3780000,2003,Arkansas,South,0.0,3266.6,2280.0,20.8,0.0,5567.4
AR,45000,88,3960000,871000,1.26,4990000,2002,Arkansas,South,0.0,1306.7,1462.0,107.9,0.0,2876.6
AR,50000,98,4900000,1617000,0.65,3185000,2001,Arkansas,South,0.0,2884.8,684.9,0.0,0.0,3569.7
AR,52000,89,4628000,2592000,0.53,2453000,1999,Arkansas,South,0.0,692.2,0.0,0.0,0.0,692.2
AR,52000,93,4836000,3337000,0.57,2757000,2000,Arkansas,South,0.0,844.0,81.2,0.0,0.0,925.2
AR,53000,65,3445000,1688000,0.59,2033000,1998,Arkansas,South,0.0,1262.3,0.0,0.0,0.0,1262.3
AZ,20000,52,1040000,562000,1.45,1508000,2009,Arizona,West,266.0,9309.2,526.1,1246.8,0.0,11348.1
AZ,22000,40,880000,97000,1.96,1725000,2017,Arizona,West,,,,,,
AZ,22000,46,1012000,253000,1.79,1811000,2012,Arizona,West,2036.4,10907.6,759.2,1535.1,0.0,15238.3
AZ,23000,53,1219000,427000,1.55,1889000,2011,Arizona,West,1188.3,15866.7,2721.0,1134.2,0.0,20910.2
AZ,24000,77,1848000,665000,1.52,2809000,2010,Arizona,West,921.7,9530.3,1225.3,857.7,0.0,12535.0
AZ,25000,64,1600000,336000,1.26,2016000,2008,Arizona,West,0.0,8541.8,190.8,1791.8,0.0,10524.4
AZ,26000,39,1014000,193000,1.92,1947000,2014,Arizona,West,2262.1,15137.4,1680.7,569.1,0.0,19649.3
AZ,26000,49,1274000,306000,2.03,2586000,2015,Arizona,West,223.1,13254.2,340.1,1319.1,0.0,15136.5
AZ,27000,46,1242000,261000,1.97,2447000,2016,Arizona,West,,,,,,
AZ,29000,36,1044000,251000,1.96,2046000,2013,Arizona,West,2139.8,15241.6,226.5,1961.4,0.0,19569.3
AZ,30000,64,1920000,902000,1.26,2419000,2007,Arizona,West,48.7,9038.0,304.0,679.5,0.0,10070.2
AZ,30000,65,1950000,839000,0.91,1775000,2006,Arizona,West,48.7,9657.7,547.3,3470.6,0.0,13724.3
AZ,32000,55,1760000,774000,1.11,1954000,2004,Arizona,West,96.7,10884.3,257.8,1635.9,0.0,12874.7
AZ,35000,72,2520000,983000,1.34,3377000,2003,Arizona,West,0.0,9847.5,94.4,1120.2,0.0,11062.1
AZ,36000,50,1800000,720000,1.04,1872000,2005,Arizona,West,0.0,8633.8,141.2,2509.3,0.0,11284.3
AZ,38000,63,2394000,1197000,1.08,2586000,2002,Arizona,West,0.0,6235.4,562.2,141.6,0.0,6939.2
AZ,40000,59,2360000,1322000,0.73,1723000,2000,Arizona,West,0.0,10467.4,0.0,0.0,0.0,10467.4
AZ,43000,59,2537000,1142000,0.72,1827000,2001,Arizona,West,0.0,3713.1,19.6,0.0,0.0,3732.7
AZ,52000,62,3224000,1548000,0.62,1999000,1999,Arizona,West,0.0,5171.6,0.0,0.0,0.0,5171.6
AZ,55000,60,3300000,1485000,0.64,2112000,1998,Arizona,West,0.0,4814.2,0.0,0.0,0.0,4814.2
CA,275000,30,8250000,1485000,2.03,16748000,2015,California,West,143619.6,150569.3,17910.1,22852.8,0.0,334951.8
CA,310000,36,11160000,2009000,2.04,22766000,2016,California,West,,,,,,
CA,320000,39,12480000,2995000,2.06,25709000,2014,California,West,7845.2,134904.2,15249.1,20154.2,0.0,178152.7
CA,330000,33,10890000,2505000,2.11,22978000,2013,California,West,6569.3,130277.0,12189.3,18075.6,0.0,167111.2
CA,330000,35,11550000,3119000,1.94,22407000,2012,California,West,2898.1,112795.9,7572.1,17423.0,0.3,140689.4
CA,335000,41,13735000,2198000,2.09,28706000,2017,California,West,,,,,,
CA,340000,40,13600000,3672000,1.04,14144000,2007,California,West,1.3,112185.1,2541.8,11249.3,28.7,126006.2
CA,355000,33,11715000,2109000,1.39,16284000,2009,California,West,796.9,73976.8,4115.9,9496.4,0.0,88386.0
CA,360000,51,18360000,4039000,1.39,25520000,2008,California,West,608.0,61475.8,3394.4,36480.3,17.1,101975.6
CA,370000,48,17760000,3730000,1.65,29304000,2011,California,West,14229.5,112450.6,7391.2,15457.0,0.0,149528.3
CA,380000,52,19760000,7706000,0.97,19167000,2006,California,West,0.0,45520.7,4963.9,13963.7,39.8,64488.1
CA,390000,45,17550000,5792000,1.05,18428000,2004,California,West,0.0,38897.8,4439.2,15984.1,0.0,59321.1
CA,4.00E+05,75,3.00E+07,9300000,0.86,25800000,2005,California,West,0.0,42563.9,5460.7,13997.2,0.0,62021.8
CA,410000,67,27470000,6318000,1.55,42579000,2010,California,West,1410.8,93949.9,4521.7,11462.0,0.0,111344.4
CA,440000,70,30800000,11396000,0.59,18172000,2000,California,West,0.0,30796.5,0.0,0.0,0.0,30796.5
CA,450000,83,37350000,12326000,0.62,23157000,1998,California,West,0.0,61047.2,0.0,0.0,0.0,61047.2
CA,460000,61,28060000,7857000,0.69,19361000,2001,California,West,0.0,35178.6,0.0,0.0,0.0,35178.6
CA,465000,60,27900000,9486000,0.55,15345000,1999,California,West,0.0,41778.9,0.0,0.0,0.0,41778.9
CA,470000,50,23500000,3525000,1.32,31020000,2002,California,West,0.0,36653.3,5021.8,3007.5,0.0,44682.6
CA,480000,67,32160000,6432000,1.39,44702000,2003,California,West,0.0,38511.7,4615.1,12293.0,0.0,55419.8
CO,23000,80,1840000,791000,1.35,2484000,2004,Colorado,West,1861.5,1657.0,1847.5,0.0,0.0,5366.0
CO,24000,60,1440000,576000,1.29,1858000,2002,Colorado,West,0.0,1213.2,353.6,0.0,0.0,1566.8
CO,24000,86,2064000,722000,1.4,2890000,2003,Colorado,West,0.0,381.1,485.3,0.0,0.0,866.4
CO,25000,48,1200000,468000,2.07,2484000,2012,Colorado,West,12283.8,3915.9,5185.3,0.0,0.0,21385.0
CO,26000,43,1118000,324000,2.1,2348000,2013,Colorado,West,9791.5,3276.3,6200.5,0.0,0.0,19268.3
CO,26000,55,1430000,529000,0.71,1015000,2001,Colorado,West,0.0,1575.0,9.8,0.0,0.0,1584.8
CO,27000,37,999000,200000,2.11,2108000,2014,Colorado,West,8658.2,1140.7,8689.7,0.0,0.0,18488.6
CO,27000,45,1215000,656000,1.51,1835000,2008,Colorado,West,4894.1,960.4,2425.9,12.2,0.0,8292.6
CO,27000,72,1944000,1594000,0.7,1361000,1998,Colorado,West,0.0,1724.5,0.0,0.0,0.0,1724.5
CO,27000,76,2052000,1436000,0.68,1395000,1999,Colorado,West,0.0,913.9,0.0,0.0,0.0,913.9
CO,28000,53,1484000,326000,1.43,2122000,2009,Colorado,West,7375.4,2561.9,2176.0,0.0,0.0,12113.3
CO,28000,70,1960000,902000,0.97,1901000,2005,Colorado,West,5369.9,2381.9,622.5,0.0,0.0,8374.3
CO,29000,51,1479000,399000,2.26,3343000,2015,Colorado,West,0.0,4567.8,207.0,0.0,0.0,4774.8
CO,29000,60,1740000,957000,0.62,1079000,2000,Colorado,West,0.0,263.8,0.0,0.0,0.0,263.8
CO,31000,51,1581000,838000,1.15,1818000,2007,Colorado,West,2223.3,1794.0,1077.1,0.0,0.0,5094.4
CO,31000,55,1705000,443000,2,3410000,2011,Colorado,West,20234.1,3789.6,3456.8,0.0,0.0,27480.5
CO,32000,40,1280000,282000,2.24,2867000,2016,Colorado,West,,,,,,
CO,33000,43,1419000,284000,2.06,2923000,2017,Colorado,West,,,,,,
CO,34000,56,1904000,533000,1.52,2894000,2010,Colorado,West,16623.2,3435.3,4125.3,0.0,0.0,24183.8
CO,36000,75,2700000,1458000,1.04,2808000,2006,Colorado,West,3165.9,883.8,1464.0,0.0,0.0,5513.7
FL,150000,79,11850000,1304000,1.32,15642000,2008,Florida,South,134.3,31040.8,2152.0,181.1,0.0,33508.2
FL,160000,71,11360000,1363000,0.99,11246000,2007,Florida,South,84.4,42580.1,933.8,16.5,0.0,43614.8
FL,160000,86,13760000,2477000,0.87,11971000,2005,Florida,South,7.9,26821.9,1887.8,93.5,0.0,28811.1
FL,170000,68,11560000,1618000,1.42,16415000,2009,Florida,South,96.3,31796.6,2237.5,734.4,0.0,34864.8
FL,170000,81,13770000,1790000,1,13770000,2006,Florida,South,85.4,20595.0,625.4,156.2,0.0,21462.0
FL,180000,61,10980000,988000,1.68,18446000,2011,Florida,South,358.2,38183.4,13523.4,469.8,0.0,52534.8
FL,193000,64,12352000,1235000,1.84,22728000,2012,Florida,South,657.7,45642.4,11270.7,487.6,0.0,58058.4
FL,2.00E+05,69,13800000,1794000,1.56,21528000,2010,Florida,South,238.5,29766.4,3700.1,290.7,0.0,33995.7
FL,205000,43,8815000,529000,2.4,21156000,2017,Florida,South,,,,,,
FL,205000,98,20090000,2009000,1.02,20492000,2004,Florida,South,0.0,15851.0,1146.7,0.0,0.0,16997.7
FL,210000,71,14910000,1491000,1.32,19681000,2003,Florida,South,0.0,35597.6,0.0,0.0,0.0,35597.6
FL,215000,50,10750000,538000,2.43,26123000,2016,Florida,South,93.8,52580.4,11642.4,1.8,0.0,64318.4
FL,220000,100,2.20E+07,3432000,0.64,14080000,2001,Florida,South,0.0,9378.8,0.0,0.0,0.0,9378.8
FL,220000,54,11880000,832000,1.97,23404000,2015,Florida,South,198.9,37847.4,7991.5,712.0,0.0,46749.8
FL,220000,61,13420000,1074000,2.03,27243000,2013,Florida,South,281.9,61532.0,13291.0,643.9,0.0,75748.8
FL,220000,93,20460000,2026000,1.14,23324000,2002,Florida,South,0.0,7846.5,10.2,0.0,0.0,7856.7
FL,228000,102,23256000,4186000,0.53,12326000,1999,Florida,South,0.0,11173.8,0.0,0.0,0.0,11173.8
FL,230000,98,22540000,4508000,0.64,14426000,1998,Florida,South,0.0,11049.1,0.0,0.0,0.0,11049.1
FL,232000,105,24360000,2923000,0.54,13154000,2000,Florida,South,0.0,6003.8,0.0,0.0,0.0,6003.8
FL,245000,60,14700000,1029000,2.08,30576000,2014,Florida,South,858.6,30203.3,13241.9,368.9,0.0,44672.7
GA,50000,52,2600000,52000,1.13,2938000,2002,Georgia,South,0.0,5541.3,2643.7,0.0,0.0,8185.0
GA,52000,65,3380000,270000,1.28,4326000,2003,Georgia,South,0.0,11799.7,1670.2,0.0,0.0,13469.9
GA,55000,46,2530000,152000,1.67,4225000,2010,Georgia,South,2010.1,15499.6,8551.6,45.6,10.4,26117.3
GA,55000,57,3135000,188000,0.7,2195000,2001,Georgia,South,0.0,4127.4,0.0,0.0,0.0,4127.4
GA,55000,57,3135000,376000,0.63,1975000,2000,Georgia,South,0.0,3065.3,0.0,0.0,0.0,3065.3
GA,59000,49,2891000,434000,0.89,2573000,2005,Georgia,South,58.4,3524.6,3326.1,7.6,20.6,6937.3
GA,59000,51,3009000,181000,1.92,5777000,2012,Georgia,South,2027.7,21222.0,17521.6,62.3,5.9,40839.5
GA,60000,58,3480000,522000,1.19,4141000,2007,Georgia,South,3736.5,5571.6,7840.9,10.8,0.0,17159.8
GA,63000,49,3087000,648000,1.2,3704000,2004,Georgia,South,4667.9,3927.7,1823.0,0.1,2.7,10421.4
GA,63000,74,4662000,746000,1.2,5594000,2006,Georgia,South,1161.6,11053.7,9371.1,52.7,41.4,21680.5
GA,65000,41,2665000,346000,1.47,3918000,2009,Georgia,South,2305.1,11526.9,9464.0,27.8,0.4,23324.2
GA,65000,43,2795000,196000,1.65,4612000,2011,Georgia,South,2592.3,38017.1,17996.9,6.0,13.1,58625.4
GA,65000,51,3315000,497000,0.64,2122000,1999,Georgia,South,0.0,3647.8,0.0,0.0,0.0,3647.8
GA,65000,71,4615000,369000,1.52,7015000,2008,Georgia,South,1942.8,6568.8,9468.3,25.9,21.5,18027.3
GA,67000,50,3350000,637000,2.26,7571000,2013,Georgia,South,4551.9,17838.7,22223.9,33.7,0.0,44648.2
GA,69000,40,2760000,221000,2.43,6707000,2015,Georgia,South,1734.4,24940.5,2930.0,41.6,0.0,29646.5
GA,73000,62,4526000,362000,2.19,9912000,2014,Georgia,South,7799.7,27802.7,16303.3,27.0,0.0,51932.7
GA,75000,56,4200000,307000,0.69,2898000,1998,Georgia,South,0.0,5259.6,0.0,0.0,0.0,5259.6
GA,96000,39,3744000,899000,2.69,10071000,2016,Georgia,South,4515.6,42934.0,9302.7,63.5,0.0,56815.8
GA,99000,32,3168000,190000,2.96,9377000,2017,Georgia,South,,,,,,
HI,10000,75,750000,263000,4.15,3113000,2012,Hawaii,West,,,,,,
HI,10000,77,770000,239000,2.75,2118000,2010,Hawaii,West,,,,,,
HI,10000,90,9.00E+05,225000,1.59,1431000,2008,Hawaii,West,,,,,,
HI,10000,92,920000,285000,1.7,1564000,2007,Hawaii,West,,,,,,
HI,10000,93,930000,233000,1.21,1125000,2006,Hawaii,West,,,,,,
HI,10000,95,950000,323000,1.76,1672000,2009,Hawaii,West,,,,,,
HI,12000,131,1572000,16000,1.51,2374000,2017,Hawaii,West,,,,,,
HI,13000,83,1079000,65000,1.97,2126000,2013,Hawaii,West,,,,,,
HI,14000,102,1428000,71000,1.91,2727000,2015,Hawaii,West,,,,,,
HI,15000,93,1395000,140000,2.29,3195000,2014,Hawaii,West,,,,,,
HI,16000,113,1808000,127000,2.31,4176000,2016,Hawaii,West,,,,,,
HI,7000,112,784000,125000,0.82,643000,2000,Hawaii,West,,,,,,
HI,7000,114,798000,43000,1.45,1157000,2003,Hawaii,West,,,,,,
HI,7000,136,952000,29000,1.11,1057000,2002,Hawaii,West,,,,,,
HI,8000,118,944000,66000,0.77,727000,1998,Hawaii,West,,,,,,
HI,8000,80,640000,32000,0.8,512000,1999,Hawaii,West,,,,,,
HI,8000,87,696000,84000,0.87,606000,2001,Hawaii,West,,,,,,
HI,8000,96,768000,77000,1.59,1221000,2004,Hawaii,West,,,,,,
HI,9000,131,1179000,283000,1.43,1686000,2005,Hawaii,West,,,,,,
HI,9000,74,666000,246000,3.65,2431000,2011,Hawaii,West,,,,,,
IA,24000,62,1488000,580000,1.58,2351000,2008,Iowa,Midwest,95696.0,16994.9,37337.2,0.9,0.0,150029.0
IA,25000,62,1550000,961000,1.96,3038000,2011,Iowa,Midwest,129359.2,36744.7,56816.9,10.3,0.0,222931.1
IA,26000,42,1092000,339000,1.6,1747000,2009,Iowa,Midwest,87469.4,17994.1,52617.1,7.5,0.0,158088.1
IA,26000,81,2106000,1221000,1.31,2759000,2007,Iowa,Midwest,55855.6,6057.1,31059.7,7.9,0.0,92980.3
IA,26000,84,2184000,1441000,1.37,2992000,2006,Iowa,Midwest,48965.9,4205.2,18630.3,8.4,0.0,71809.8
IA,27000,49,1323000,463000,1.92,2540000,2010,Iowa,Midwest,61314.3,75558.9,48152.2,5.8,0.0,185031.2
IA,28000,88,2464000,1232000,1.21,2981000,2005,Iowa,Midwest,39662.1,5884.9,8273.3,9.1,0.0,53829.4
IA,30000,67,2010000,1206000,0.68,1367000,2000,Iowa,Midwest,0.0,61.4,0.0,0.0,0.0,61.4
IA,32000,59,1888000,868000,1.42,2681000,2003,Iowa,Midwest,0.0,79.4,4.4,9.2,0.0,93.0
IA,33000,51,1683000,875000,0.75,1262000,2001,Iowa,Midwest,0.0,57.6,0.6,0.0,0.0,58.2
IA,33000,70,2310000,901000,1.43,3303000,2002,Iowa,Midwest,0.0,102.5,3.3,0.0,0.0,105.8
IA,35000,43,1505000,933000,2.41,3627000,2014,Iowa,Midwest,256886.6,53938.0,64834.6,11.9,0.0,375671.1
IA,35000,58,2030000,1035000,2.22,4507000,2017,Iowa,Midwest,,,,,,
IA,35000,67,2345000,1337000,1.06,2486000,2004,Iowa,Midwest,21798.9,8143.3,5280.1,16.0,0.0,35238.3
IA,36000,50,1800000,990000,2.2,3960000,2015,Iowa,Midwest,3.2,4945.6,6004.2,3.3,0.0,10956.3
IA,37000,48,1776000,746000,2.08,3694000,2016,Iowa,Midwest,0.0,3160.6,1105.8,7.0,0.0,4273.4
IA,37000,61,2257000,1196000,2.17,4898000,2012,Iowa,Midwest,168229.2,49328.3,59286.2,11.0,0.0,276854.7
IA,39000,48,1872000,1217000,2.45,4586000,2013,Iowa,Midwest,214836.0,70715.7,49952.7,25.5,0.0,335529.9
IA,40000,65,2600000,2028000,0.65,1690000,1999,Iowa,Midwest,0.0,65.5,0.0,0.0,0.0,65.5
IA,50000,78,3900000,2301000,0.7,2730000,1998,Iowa,Midwest,0.0,322.4,0.0,0.0,0.0,322.4
ID,1.00E+05,46,4600000,1380000,1.33,6118000,2003,Idaho,West,0.0,3601.3,575.4,27.1,0.0,4203.8
ID,1.00E+05,46,4600000,1610000,0.67,3082000,2001,Idaho,West,0.0,2620.4,145.1,0.0,0.0,2765.5
ID,1.00E+05,47,4700000,2679000,0.52,2444000,2000,Idaho,West,0.0,4524.8,0.0,0.0,0.0,4524.8
ID,1.00E+05,57,5700000,1653000,1.37,7809000,2002,Idaho,West,0.0,2132.6,1352.3,4.5,0.0,3489.4
ID,1.00E+05,63,6300000,2520000,1.02,6426000,2004,Idaho,West,0.3,3398.2,973.4,133.9,60.7,4566.5
ID,100000,34,3400000,850000,2.03,6902000,2014,Idaho,West,6741.1,30798.5,5683.5,40.1,31.2,43294.4
ID,103000,46,4738000,1706000,1.52,7202000,2009,Idaho,West,2353.4,22734.0,3717.1,61.7,19.3,28885.5
ID,120000,48,5760000,3110000,0.59,3398000,1999,Idaho,West,0.0,906.8,0.0,0.0,0.0,906.8
ID,120000,50,6.00E+06,2220000,0.65,3900000,1998,Idaho,West,0.0,2116.3,0.0,0.0,0.0,2116.3
ID,83000,32,2656000,1036000,2.02,5365000,2013,Idaho,West,4217.4,27564.6,7735.4,44.4,19.4,39581.2
ID,87000,36,3132000,1879000,1.78,5575000,2011,Idaho,West,1157.6,25864.1,4727.0,108.7,27.6,31885.0
ID,89000,32,2848000,1082000,1.93,5497000,2015,Idaho,West,0.3,20995.8,178.2,53.3,3.2,21230.8
ID,90000,40,3600000,1440000,1.46,5256000,2008,Idaho,West,470.2,15855.1,1813.0,76.1,15.6,18230.0
ID,92000,32,2944000,530000,1.63,4799000,2012,Idaho,West,3325.7,34000.0,5972.2,87.5,4.9,43390.3
ID,92000,41,3772000,1848000,1.15,4338000,2007,Idaho,West,60.6,9556.5,1220.5,67.5,18.6,10923.7
ID,95000,37,3515000,1793000,0.8,2812000,2005,Idaho,West,99.1,3750.9,1607.9,117.0,23.0,5597.9
ID,95000,44,4180000,1045000,1.79,7482000,2017,Idaho,West,,,,,,
ID,95000,44,4180000,2592000,0.97,4055000,2006,Idaho,West,1186.8,5475.7,1106.5,157.1,2.8,7928.9
ID,97000,27,2619000,1179000,1.61,4217000,2010,Idaho,West,4288.3,19051.4,6740.8,143.4,36.7,30260.6
ID,97000,34,3298000,1253000,1.82,6002000,2016,Idaho,West,1.1,16642.4,2278.5,115.6,0.0,19037.6
IL,10000,48,480000,77000,5.42,2602000,2016,Illinois,Midwest,2.5,8139.3,2710.1,0.0,0.0,10851.9
IL,10000,66,660000,356000,2.14,1412000,2006,Illinois,Midwest,39370.0,2538.7,8750.8,74.9,64.3,50798.7
IL,11000,46,506000,167000,4.76,2409000,2017,Illinois,Midwest,,,,,,
IL,6000,76,456000,251000,1.58,720000,2001,Illinois,Midwest,0.0,650.8,0.0,0.0,0.0,650.8
IL,7000,48,336000,101000,4.19,1408000,2013,Illinois,Midwest,222432.9,79582.5,31131.3,178.9,0.0,333325.6
IL,7000,50,350000,98000,3.9,1365000,2011,Illinois,Midwest,130241.7,66760.4,30175.8,98.2,0.0,227276.1
IL,7000,55,385000,193000,1.86,716000,2004,Illinois,Midwest,38467.5,7921.4,2068.2,456.9,110.5,49024.5
IL,7000,60,420000,252000,1.83,769000,2003,Illinois,Midwest,0.0,790.6,21.7,46.3,0.0,858.6
IL,7000,61,427000,145000,3.55,1516000,2012,Illinois,Midwest,212756.9,58895.9,38048.5,152.7,0.0,309854.0
IL,8000,34,272000,57000,2.55,694000,2009,Illinois,Midwest,87037.3,8471.3,33399.8,123.2,0.0,129031.6
IL,8000,49,392000,94000,4.11,1611000,2014,Illinois,Midwest,278498.8,85852.3,38568.4,92.1,0.0,403011.6
IL,8000,51,408000,155000,4.66,1901000,2015,Illinois,Midwest,17.1,6849.6,15849.1,80.9,0.0,22796.7
